Date;jour de la semaine;Congé;Férié;Students_Holidays_NL;Students_Holidays_FR
01-01-22;6;Noel;1;1;1
02-01-22;7;Noel;;1;1
03-01-22;1;Noel;;1;1
04-01-22;2;Noel;;1;1
05-01-22;3;Noel;;1;1
06-01-22;4;Noel;;1;1
07-01-22;5;Noel;;1;1
08-01-22;6;Noel;;1;1
09-01-22;7;Noel;;1;1
28-02-22;1;Congé de carnaval ;;1;1
01-03-22;2;Congé de carnaval ;;1;1
02-03-22;3;Congé de carnaval ;;1;1
03-03-22;4;Congé de carnaval ;;1;1
04-03-22;5;Congé de carnaval ;;1;1
04-04-22;1;Congé de Paques;;1;1
05-04-22;2;Congé de Paques;;1;1
06-04-22;3;Congé de Paques;;1;1
07-04-22;4;Congé de Paques;;1;1
08-04-22;5;Congé de Paques;;1;1
09-04-22;6;Congé de Paques;;1;1
10-04-22;7;Congé de Paques;;1;1
11-04-22;1;Congé de Paques;;1;1
12-04-22;2;Congé de Paques;;1;1
13-04-22;3;Congé de Paques;;1;1
14-04-22;4;Congé de Paques;;1;1
15-04-22;5;Congé de Paques;;1;1
18-04-22;1;Lundi de Pâques;1;1;1
01-05-22;7;Fete du travail;1;1;1
26-05-22;4;Ascension;1;1;1
06-06-22;1;Pentecôte;1;1;1
01-07-22;5;Vacances d'été;;1;1
02-07-22;6;Vacances d'été;;1;1
03-07-22;7;Vacances d'été;;1;1
04-07-22;1;Vacances d'été;;1;1
05-07-22;2;Vacances d'été;;1;1
06-07-22;3;Vacances d'été;;1;1
07-07-22;4;Vacances d'été;;1;1
08-07-22;5;Vacances d'été;;1;1
09-07-22;6;Vacances d'été;;1;1
10-07-22;7;Vacances d'été;;1;1
11-07-22;1;Vacances d'été;;1;1
12-07-22;2;Vacances d'été;;1;1
13-07-22;3;Vacances d'été;;1;1
14-07-22;4;Vacances d'été;;1;1
15-07-22;5;Vacances d'été;;1;1
16-07-22;6;Vacances d'été;;1;1
17-07-22;7;Vacances d'été;;1;1
18-07-22;1;Vacances d'été;;1;1
19-07-22;2;Vacances d'été;;1;1
20-07-22;3;Vacances d'été;;1;1
21-07-22;4;Vacances d'été;1;1;1
22-07-22;5;Vacances d'été;;1;1
23-07-22;6;Vacances d'été;;1;1
24-07-22;7;Vacances d'été;;1;1
25-07-22;1;Vacances d'été;;1;1
26-07-22;2;Vacances d'été;;1;1
27-07-22;3;Vacances d'été;;1;1
28-07-22;4;Vacances d'été;;1;1
29-07-22;5;Vacances d'été;;1;1
30-07-22;6;Vacances d'été;;1;1
31-07-22;7;Vacances d'été;;1;1
01-08-22;1;Vacances d'été;;1;1
02-08-22;2;Vacances d'été;;1;1
03-08-22;3;Vacances d'été;;1;1
04-08-22;4;Vacances d'été;;1;1
05-08-22;5;Vacances d'été;;1;1
06-08-22;6;Vacances d'été;;1;1
07-08-22;7;Vacances d'été;;1;1
08-08-22;1;Vacances d'été;;1;1
09-08-22;2;Vacances d'été;;1;1
10-08-22;3;Vacances d'été;;1;1
11-08-22;4;Vacances d'été;;1;1
12-08-22;5;Vacances d'été;;1;1
13-08-22;6;Vacances d'été;;1;1
14-08-22;7;Vacances d'été;;1;1
15-08-22;1;Vacances d'été;1;1;1
16-08-22;2;Vacances d'été;;1;1
17-08-22;3;Vacances d'été;;1;1
18-08-22;4;Vacances d'été;;1;1
19-08-22;5;Vacances d'été;;1;1
20-08-22;6;Vacances d'été;;1;1
21-08-22;7;Vacances d'été;;1;1
22-08-22;1;Vacances d'été;;1;1
23-08-22;2;Vacances d'été;;1;1
24-08-22;3;Vacances d'été;;1;1
25-08-22;4;Vacances d'été;;1;1
26-08-22;5;Vacances d'été;;1;1
27-08-22;6;Vacances d'été;;1;1
28-08-22;7;Vacances d'été;;1;1
29-08-22;1;Vacances d'été;;1;
30-08-22;2;Vacances d'été;;1;
31-08-22;3;Vacances d'été;;1;
27-09-22;2;Fête de la FWB;;;1
24-10-22;1;Toussaint;;;1
25-10-22;2;Toussaint;;;1
26-10-22;3;Toussaint;;;1
27-10-22;4;Toussaint;;;1
28-10-22;5;Toussaint;;;1
29-10-22;6;Toussaint;;;1
30-10-22;7;Toussaint;;;1
31-10-22;1;Toussaint;;1;1
01-11-22;2;Toussaint;1;1;1
02-11-22;3;Toussaint;;1;1
03-11-22;4;Toussaint;;1;1
04-11-22;5;Toussaint;;1;1
11-11-22;5;Armistice;1;1;1
25-12-22;7;Noel;1;1;1
26-12-22;1;Noel;;1;1
27-12-22;2;Noel;;1;1
28-12-22;3;Noel;;1;1
29-12-22;4;Noel;;1;1
30-12-22;5;Noel;;1;1
31-12-22;6;Noel;;1;1
01-01-23;7;Noel;1;1;1
02-01-23;1;Noel;;1;1
